Game,Timestamp,distance,Player_ID_1,Latitude_1,Longitude_1,Elevation_1,Player_ID_2,Latitude_2,Longitude_2,Elevation_2
6,2022-05-13 16:05:06,171.60047144118528,DB,47.1449210348406,-70.46238807828301,13.737142857142857,IG,47.1443883888423,-70.4645108431578,26.57
6,2022-05-13 16:05:07,171.84700535777898,DB,47.144925129999,-70.46238528830666,13.805714285714286,IG,47.14438693132247,-70.46450866851958,26.49
6,2022-05-13 16:05:08,172.095542126313,DB,47.1449292251574,-70.46238249833033,13.874285714285714,IG,47.14438547380264,-70.46450649388137,26.41
6,2022-05-13 16:05:09,172.34607308196195,DB,47.1449333203158,-70.46237970835398,13.942857142857145,IG,47.14438401628282,-70.46450431924316,26.33
6,2022-05-13 16:05:10,172.5985895389571,DB,47.1449374154742,-70.46237691837764,14.01142857142857,IG,47.14438255876299,-70.46450214460494,26.25
6,2022-05-13 16:05:11,172.85308280021644,DB,47.1449415106326,-70.4623741284013,14.08,IG,47.14438110124316,-70.46449996996672,26.17
6,2022-05-13 16:05:12,172.8283818537841,DB,47.14494373649355,-70.46237412374468,14.293333333333331,IG,47.14437964372333,-70.46449779532851,26.09
6,2022-05-13 16:05:13,172.80530192683656,DB,47.14494596235451,-70.46237411908807,14.506666666666668,IG,47.144378186203504,-70.4644956206903,26.01
6,2022-05-13 16:05:14,172.7838436670286,DB,47.144948188215466,-70.46237411443144,14.72,IG,47.14437672868368,-70.46449344605209,25.93
6,2022-05-13 16:05:15,172.76400767901615,DB,47.14495041407642,-70.46237410977483,14.933333333333334,IG,47.14437527116385,-70.46449127141388,25.85
6,2022-05-13 16:05:16,172.7457945213866,DB,47.14495263993738,-70.46237410511822,15.146666666666668,IG,47.14437381364402,-70.46448909677567,25.77
6,2022-05-13 16:05:17,172.72920470785098,DB,47.14495486579833,-70.4623741004616,15.36,IG,47.144372356124194,-70.46448692213744,25.69
6,2022-05-13 16:05:18,172.71423870795974,DB,47.144957091659286,-70.46237409580498,15.573333333333334,IG,47.144370898604365,-70.46448474749923,25.61
6,2022-05-13 16:05:19,172.7008969417194,DB,47.14495931752025,-70.46237409114836,15.786666666666669,IG,47.14436944108454,-70.46448257286102,25.53
6,2022-05-13 16:05:20,172.6891797862075,DB,47.1449615433812,-70.46237408649175,16.0,IG,47.14436798356471,-70.4644803982228,25.45
6,2022-05-13 16:05:21,172.67908757151687,DB,47.14496376924215,-70.46237408183514,16.213333333333335,IG,47.14436652604488,-70.46447822358459,25.37
6,2022-05-13 16:05:22,172.6706205840691,DB,47.14496599510312,-70.46237407717852,16.42666666666667,IG,47.144365068525055,-70.46447604894638,25.29
6,2022-05-13 16:05:23,172.66377906300426,DB,47.14496822096407,-70.4623740725219,16.64,IG,47.144363611005225,-70.46447387430817,25.21
6,2022-05-13 16:05:24,172.65856319909227,DB,47.14497044682502,-70.46237406786528,16.853333333333335,IG,47.1443621534854,-70.46447169966996,25.130000000000003
6,2022-05-13 16:05:25,172.65497314110985,DB,47.14497267268598,-70.46237406320867,17.066666666666666,IG,47.14436069596557,-70.46446952503173,25.05
6,2022-05-13 16:05:26,172.65300898972683,DB,47.14497489854693,-70.46237405855206,17.28,IG,47.14435923844575,-70.46446735039352,24.97
6,2022-05-13 16:05:27,172.65267080261629,DB,47.14497712440789,-70.46237405389543,17.493333333333336,IG,47.14435778092592,-70.46446517575531,24.89
6,2022-05-13 16:05:28,172.65395858821591,DB,47.14497935026885,-70.46237404923882,17.706666666666667,IG,47.144356323406086,-70.4644630011171,24.81
6,2022-05-13 16:05:29,172.65687230928495,DB,47.1449815761298,-70.4623740445822,17.92,IG,47.14435486588626,-70.46446082647888,24.73
6,2022-05-13 16:05:30,172.597622695974,DB,47.14498223550618,-70.46237400546666,18.016,IG,47.14435340836644,-70.46445865184067,24.65
6,2022-05-13 16:05:31,172.53900457747108,DB,47.14498289488256,-70.46237396635111,18.112,IG,47.144351950846605,-70.46445647720246,24.57
6,2022-05-13 16:05:32,172.48101859589605,DB,47.14498355425894,-70.46237392723556,18.208,IG,47.144350493326776,-70.46445430256423,24.49
6,2022-05-13 16:05:33,172.42366539311865,DB,47.14498421363532,-70.46237388812001,18.304,IG,47.14434903580695,-70.46445212792602,24.41
6,2022-05-13 16:05:34,172.36694559786088,DB,47.1449848730117,-70.46237384900446,18.4,IG,47.14434757828712,-70.46444995328781,24.33
6,2022-05-13 16:05:35,172.3108598362183,DB,47.14498553238808,-70.46237380988892,18.496,IG,47.144346120767295,-70.4644477786496,24.25
6,2022-05-13 16:05:36,172.2554087275108,DB,47.14498619176446,-70.46237377077337,18.592,IG,47.144344663247466,-70.46444560401139,24.17
6,2022-05-13 16:05:37,172.20059288397718,DB,47.14498685114084,-70.46237373165783,18.688,IG,47.14434320572764,-70.46444342937318,24.09
6,2022-05-13 16:05:38,172.14641291393426,DB,47.14498751051722,-70.46237369254229,18.784,IG,47.14434174820781,-70.46444125473496,24.01
6,2022-05-13 16:05:39,172.0928694168045,DB,47.1449881698936,-70.46237365342674,18.88,IG,47.14434029068798,-70.46443908009674,23.93
6,2022-05-13 16:05:40,172.03996298829279,DB,47.144988829269984,-70.46237361431119,18.976,IG,47.14433883316816,-70.46443690545853,23.85
6,2022-05-13 16:05:41,171.9876942154853,DB,47.14498948864636,-70.46237357519564,19.072,IG,47.14433737564833,-70.46443473082032,23.770000000000003
6,2022-05-13 16:05:42,171.93606368021747,DB,47.14499014802274,-70.4623735360801,19.168,IG,47.1443359181285,-70.4644325561821,23.69
