Game,Player_ID,length (m),orientation (deg.),time (s)
1,DB,0.047174480370273,43.89829466496985,1.0
1,DB,0.04717448148407586,43.898293134244355,1.0
1,DB,0.04717448154105805,43.89829466496985,1.0
1,DB,0.04717448003402937,43.89829466496985,1.0
1,DB,0.04717447987364434,43.89829361815112,1.0
1,DB,0.047174482623913855,43.898294181063065,1.0
1,DB,0.0471744797702415,43.89829414156047,1.0
1,DB,0.04717448102895589,43.89829466496985,1.0
1,DB,0.047174479666838666,43.89829466496985,1.0
1,DB,0.04717448092555305,43.8982936576537,1.0
1,DB,0.04717448069271232,43.89829414156047,1.0
1,DB,0.23549269663439656,6.21563589970265,1.0
1,DB,0.23549269661053046,6.21563589970265,1.0
1,DB,0.23549269798315697,6.21563589970265,1.0
1,DB,0.23549269654558008,6.2156360898050895,1.0
1,DB,0.235492695090785,6.215635941111105,1.0
1,DB,0.2354926964806297,6.21563589970265,1.0
1,DB,0.23549269643954543,6.21563589970265,1.0
1,DB,0.23549269782078108,6.21563589970265,1.0
1,DB,0.3471022412086711,198.89824699571435,1.0
1,DB,0.3471022433260119,198.89824691526383,1.0
1,DB,0.3471022411731422,198.89824699571435,1.0
1,DB,0.41223278410210856,349.3691497652383,1.0
1,DB,0.41223278093948695,349.36914993790845,1.0
1,DB,0.41223278349843334,349.3691498715233,1.0
1,DB,0.41223278318918677,349.3691498715233,1.0
1,DB,0.4122327829243942,349.3691497652383,1.0
1,DB,0.4122327811736423,349.36914993790845,1.0
1,DB,0.4122327823207193,349.3691498715233,1.0
1,DB,0.15494987893371012,180.4307872170086,1.0
1,DB,0.15494987751853886,180.4307869248734,1.0
1,DB,0.1549498789338444,180.4307869248734,1.0
1,DB,0.15494987610462424,180.43078722140163,1.0
1,DB,0.15494987751933503,180.4307872170086,1.0
1,DB,0.15494987893404585,180.4307869248734,1.0
1,DB,0.1549498775188746,180.4307869248734,1.0
1,DB,0.15494987751953646,180.4307872170086,1.0
1,DB,0.33681565568295324,199.44003482817618,1.0
1,DB,0.33681565355785076,199.4400347927809,1.0
1,DB,0.33681565564743843,199.44003482817618,1.0
1,DB,0.33681565633212945,199.44003482817618,1.0
1,DB,0.33681565558419896,199.4400346724368,1.0
1,DB,0.3368156591341335,199.44003494852024,1.0
1,DB,0.3368156583584781,199.44003470783213,1.0
1,DB,0.33681565769372296,199.44003491312498,1.0
1,DB,0.3368156597555861,199.44003482817618,1.0
1,DB,1.029002303819023,205.71785563332077,1.0
1,DB,1.0290023155121728,205.71785563332077,1.0
1,DB,1.2533240970261765,196.49906016125283,1.0
1,DB,1.2533241051519737,196.4990601278846,1.0
1,DB,1.25332411189333,196.49906014148578,1.0
1,DB,1.2533241171569853,196.4990601278846,1.0
1,DB,1.253324123921663,196.49906016125283,1.0
1,DB,1.253324130616399,196.4990601278846,1.0
1,DB,1.2533241387655272,196.49906016125283,1.0
1,DB,1.2533241440291951,196.4990601278846,1.0
1,DB,1.253324152201645,196.49906014148578,1.0
1,DB,1.2533241574886342,196.4990601278846,1.0
1,DB,1.2533241656144605,196.49906016125283,1.0
1,DB,0.16776952502923637,211.5884130712152,1.0
1,DB,0.16776952690966854,211.58841302527068,1.0
1,DB,0.16776952606643702,211.5884132711037,1.0
1,DB,0.167769529284879,211.58841302527068,1.0
1,DB,0.16776952700834957,211.5884130712152,1.0
1,DB,0.16776952888878185,211.58841302527068,1.0
1,DB,0.1677695280455505,211.5884132711037,1.0
1,DB,0.1677695312163484,211.58841282538222,1.0
1,DB,0.16776952903510742,211.5884132711037,1.0
1,DB,0.1677695309155398,211.58841302527068,1.0
1,DB,0.1677695299770203,211.5884132711037,1.0
1,DB,0.1677695332431066,211.58841282538222,1.0
1,DB,0.16776953096657743,211.5884132711037,1.0
1,DB,0.1677695328946541,211.58841302527068,1.0
1,DB,0.1677695319084905,211.5884130712152,1.0
1,DB,0.16776953526986527,211.58841302527068,1.0
1,DB,0.16776953294569208,211.5884132711037,1.0
1,DB,0.16776953482612467,211.58841282538222,1.0
1,DB,0.1677695339352496,211.5884132711037,1.0
1,DB,1.1508642291185076,11.75646837584407,1.0
1,DB,1.150864227728814,11.756468360113352,1.0
1,DB,1.1508642235002302,11.75646837584407,1.0
1,DB,1.150864222110539,11.756468397906154,1.0
1,DB,1.1508642178819575,11.75646841363687,1.0
1,DB,1.150864217870658,11.756468360113352,1.0
1,DB,1.1508642122308448,11.75646841363687,1.0
1,DB,1.1508642108247362,11.756468360113352,1.0
1,DB,1.1508642065961596,11.75646837584407,1.0
1,DB,1.150864205206476,11.756468397906154,1.0
1,DB,1.1508642009614796,11.75646837584407,1.0
1,DB,1.2176213733741024,32.61606118275089,1.0
1,DB,1.2176213467249568,32.61606120972481,1.0
1,DB,1.2176213172101722,32.61606118275089,1.0
1,DB,1.2176212891282256,32.61606118275089,1.0
1,DB,1.2176212597124598,32.61606121727331,1.0
1,DB,1.2176212329643694,32.61606118275089,1.0
1,DB,1.2176212049319566,32.61606120972481,1.0
1,DB,1.2176211781838908,32.61606118275089,1.0
1,DB,1.314309113387775,55.64921966014452,1.0
1,DB,1.3143089796423426,55.64921966014452,1.0
1,DB,1.3143088483343905,55.64921967235305,1.0
1,DB,0.4658614501650477,104.80968951702631,1.0
1,DB,0.46586148574015895,104.80968952726306,1.0
1,DB,0.4658615243184698,104.80968958422555,1.0
1,DB,0.4658615602646797,104.80968950678957,1.0
1,DB,0.4658615967171621,104.80968951702631,1.0
1,DB,0.465861634047013,104.8096895944623,1.0
1,DB,0.46586166999322676,104.80968951702631,1.0
