Player_ID_1,Player_ID_2,Timestamp
DB,LL,2022-05-11 17:56:08
DB,LL,2022-05-11 17:56:09
DB,LL,2022-05-11 17:56:10
DB,LL,2022-05-11 17:56:11
DB,LL,2022-05-11 17:56:12
DB,LL,2022-05-11 17:56:13
DB,LL,2022-05-11 17:56:14
DB,LL,2022-05-11 17:56:15
DB,LL,2022-05-11 17:56:16
DB,LL,2022-05-11 17:56:17
DB,LL,2022-05-11 17:56:18
DB,LL,2022-05-11 17:56:19
DB,LL,2022-05-11 17:56:20
DB,LL,2022-05-11 17:56:21
DB,LL,2022-05-11 17:56:22
DB,LL,2022-05-11 17:56:23
DB,LL,2022-05-11 17:56:24
DB,LL,2022-05-11 17:56:25
DB,LL,2022-05-11 17:56:26
DB,LL,2022-05-11 17:56:27
DB,LL,2022-05-11 17:56:28
DB,LL,2022-05-11 17:56:29
DB,LL,2022-05-11 17:56:30
DB,LL,2022-05-11 17:56:31
DB,LL,2022-05-11 17:56:32
DB,LL,2022-05-11 17:56:33
DB,LL,2022-05-11 17:56:34
DB,LL,2022-05-11 17:56:35
DB,LL,2022-05-11 17:56:36
DB,LL,2022-05-11 17:56:37
DB,LL,2022-05-11 17:56:38
DB,LL,2022-05-11 17:56:39
DB,LL,2022-05-11 17:56:40
DB,LL,2022-05-11 17:56:41
DB,LL,2022-05-11 17:56:42
DB,LL,2022-05-11 17:56:43
DB,LL,2022-05-11 17:56:44
DB,LL,2022-05-11 17:56:45
DB,MCM,2022-05-11 17:47:44
DB,MCM,2022-05-11 17:47:45
DB,MCM,2022-05-11 17:47:46
DB,MCM,2022-05-11 17:47:47
DB,MCM,2022-05-11 17:47:48
DB,MCM,2022-05-11 17:47:49
DB,MCM,2022-05-11 17:47:50
DB,MCM,2022-05-11 17:47:51
DB,MCM,2022-05-11 17:47:52
DB,MCM,2022-05-11 17:47:53
DB,MCM,2022-05-11 17:47:54
DB,MCM,2022-05-11 17:47:55
DB,MCM,2022-05-11 17:47:56
DB,MCM,2022-05-11 17:47:57
DB,MCM,2022-05-11 17:47:58
DB,MCM,2022-05-11 17:47:59
DB,MCM,2022-05-11 17:48:00
DB,MCM,2022-05-11 17:48:01
DB,MCM,2022-05-11 17:48:02
DB,MCM,2022-05-11 17:48:03
DB,MCM,2022-05-11 17:48:04
DB,MCM,2022-05-11 17:48:05
DB,MCM,2022-05-11 17:48:06
DB,MCM,2022-05-11 17:48:07
DB,MCM,2022-05-11 17:48:08
DB,MCM,2022-05-11 17:48:09
DB,MCM,2022-05-11 17:48:10
DB,MCM,2022-05-11 17:48:11
DB,MCM,2022-05-11 17:48:12
DB,MCM,2022-05-11 17:48:13
DB,MCM,2022-05-11 17:48:14
DB,MCM,2022-05-11 17:48:15
DB,MCM,2022-05-11 17:48:16
DB,MCM,2022-05-11 17:48:17
DB,MCM,2022-05-11 17:48:18
DB,MCM,2022-05-11 17:48:19
DB,MCM,2022-05-11 17:48:20
DB,MCM,2022-05-11 17:48:21
